col1,特征1,特征2,特征3,特征4,特征5,特征6,特征7,特征8,特征9,特征10,特征11,特征12,特征13,特征14,特征15,特征16,特征17,特征18,特征19,特征20,特征21,特征22,特征23,特征24,特征25,特征26,特征27,特征28,特征29,特征30,特征31,特征32,特征33,特征34,特征35,特征36,特征37,特征38,特征39,特征40,特征41,特征42,特征43
253,259.4808,338.0869,345.9576,342.39,348.27,377.88,365.2514,377.6714,372.7617,381.9431,388.26,389.5237,159.459,378.8231,381.4617,384.0314,388.0759,231.4266,2.749775,172.666,25.90765,84.35029,76127.26,28.3571,234.2708,22.64411,0.03830837,96.42982,2.498852,314.5576,144.5639,191.5,0.4976856,29.23655,210.6424,73.23544,220.9576,200.3,204.1,0.9780723,33.98863,61.43368,48.18359
253,259.9233,339.0109,347.1437,341.4207,346.2525,375.69,365.0607,377.1207,372.81,382.4962,388.9238,389.7131,161.6165,378.8569,381.9769,384.51,388.44,233.55,2.747513,174.586,26.02706,81.91576,75616.41,26.66913,233.2809,22.26289,0.04041126,95.26302,2.495162,314.3563,144.1999,185.7437,0.9057484,29.32039,209.7437,73.25504,208.9437,195.7563,199.9563,0.9706953,34.00927,59.27748,45.36462
251,285.4926,341.375,348.8,345.18,350.5028,382.1656,369.9344,384.63,377.9832,387.9944,394.2044,396.03,165.8087,385.8684,386.6868,387.9684,390.9428,241.65,2.752261,186.0627,28.33512,96.5139,81764.24,31.47104,254.8961,26.36246,0.04474838,110.7856,2.494077,314.5,156.134,190.7573,8.013074,32.01918,208.7,81.00215,224.572,202,205.3,0.9865193,34.62585,61.09634,53.34563
248,283.6241,341.8,349.2573,344.9184,349.86,380.61,367.1572,380.1944,376.1788,385.6028,392.1728,394.83,177.7037,383.88,385.238,387.7412,391.1784,250.193,2.758085,184.245,28.5345,96.12469,82886.72,32.24678,255.9568,25.30656,0.04285413,111.0449,2.492433,313.2,154.7872,189.8427,8.664907,33.59893,210.2,80.07074,221.9,199.8427,202.2,0.981375,34.74912,61.63433,54.33425
241,284.878,341.9065,350.6583,345.24,350.8404,382.4748,366.8574,380.4252,375.6348,386.5104,392.97,396.6552,171.9015,383.5248,383.9034,386.82,389.697,248.668,2.755104,181.173,28.44867,98.63022,85958.28,30.99693,253.5302,26.48959,0.0439119,113.5753,2.506939,311.8412,159.3114,189.5,0.692,38.51775,209.1588,68.04018,231.7235,204.3,206.1,0.9849498,34.87038,60.21306,61.09616
241,284.2267,349.075,356.1,345.42,350.85,382.4524,367.4296,380.8852,375.8596,386.3896,393.27,397.1752,174.762,383.7372,382.588,386.2728,390.1832,255.0957,2.756387,187.3338,28.42274,96.22765,82141.36,31.15602,255.7051,25.45545,0.04076613,115.7289,2.502856,313.6413,159.4722,191.3,0.5867733,34.80009,205.9413,69.54773,230.3933,206.3,207.3587,0.9863233,34.87296,60.74413,55.50858
244,284.5664,349.2488,356.5591,345.36,350.8145,382.3746,367.62,381.1146,376.2286,386.6768,393.33,397.23,174.319,383.97,382.4291,386.1477,390.1909,255.174,2.756373,185.5608,29.00705,96.7005,83064.48,31.39871,254.9898,25.64932,0.04328913,115.2474,2.484215,313,149.343,190.5,0.7134497,34.81196,208.1591,69.97708,235.4819,205.9,207.7591,0.989625,33.59672,59.41886,54.97202
245,284.8039,352.5451,359.7,345.8163,351.8821,384.2758,367.2958,381.0058,375.87,386.9521,393.7258,397.7221,173.6622,384.2337,382.4641,386.0342,389.82,256.1201,2.754834,185.9159,28.9782,95.95156,84637.65,31.61955,255.6684,25.27902,0.04293557,115.1805,3.003643,311.8,149.7998,191.9,0.5847785,34.79671,208.2,70.01208,238.0611,207.3,209,0.9874497,34.12967,60.64182,55.16839
245,284.7309,349.975,358.5,345.48,351.27,382.95,367.365,380.43,376.02,386.865,393.93,397.41,175.175,383.325,382.53,386.01,390.36,259.8125,2.757,185.6938,29.02538,94.601,86778,31.9627,253.9044,25.46887,0.04145,112.7175,2.514625,313.35,150.234,187,0.53,33.5808,208.55,70.0425,235.15,203.9,205.6,0.98275,34.51,61.35,54.13285
245,283.7072,347.9,354.4,345.69,351.6,384.06,366.9896,379.6202,376.4698,386.3698,393.45,396.69,171.4159,383.4755,383.2194,386.6408,390.9304,256.1763,2.757498,184.0699,29.03129,96.17167,85938.84,31.05332,254.2173,25.41852,0.04031947,109.8514,2.496207,314.8,151.843,194.4,8.85568,34.15855,208.1,69.8898,238.2507,208.6493,209.9493,0.9859383,34.62859,61.4,55.27445
